time;open;high;low;close;Buy;Sell
2022-01-01T00:00:00Z;3677.45;3728.15;3677.4;3721.7;NaN;NaN
2022-01-01T01:00:00Z;3721.7;3745.4;3713.9;3725.95;3713.895;NaN
2022-01-01T02:00:00Z;3725.95;3734.3;3723.3;3727.75;NaN;NaN
2022-01-01T03:00:00Z;3727.75;3734.05;3723.65;3724.2;NaN;NaN
2022-01-01T04:00:00Z;3724.2;3726;3710;3710;NaN;NaN
2022-01-01T05:00:00Z;3710;3765.95;3706;3737.5;NaN;NaN
2022-01-01T06:00:00Z;3737.5;3741.05;3710.25;3712.2;NaN;NaN
2022-01-01T07:00:00Z;3712.2;3724.9;3703.45;3718;NaN;NaN
2022-01-01T08:00:00Z;3718;3733.45;3711.15;3721.8;NaN;NaN
2022-01-01T09:00:00Z;3721.8;3728.35;3711;3715.05;NaN;NaN
2022-01-01T10:00:00Z;3715.05;3731.6;3672.15;3691.65;NaN;NaN
2022-01-01T11:00:00Z;3691.65;3710;3691.6;3693.3;NaN;NaN
2022-01-01T12:00:00Z;3693.3;3716.7;3693.3;3716.65;NaN;NaN
2022-01-01T13:00:00Z;3716.65;3725.05;3708.1;3710;NaN;NaN
2022-01-01T14:00:00Z;3710;3711.55;3693.05;3698.6;NaN;NaN
2022-01-01T15:00:00Z;3698.6;3744.05;3693;3724.95;NaN;NaN
2022-01-01T16:00:00Z;3724.95;3747.35;3718.75;3726.2;NaN;NaN
2022-01-01T17:00:00Z;3726.2;3763;3726.2;3758.95;NaN;NaN
2022-01-01T18:00:00Z;3758.95;3762.95;3738.35;3749.6;NaN;NaN
2022-01-01T19:00:00Z;3749.6;3753.95;3732.7;3744.75;NaN;NaN
2022-01-01T20:00:00Z;3744.75;3774.95;3740;3758.85;NaN;NaN
2022-01-01T21:00:00Z;3758.85;3772.8;3745;3745.9;NaN;NaN
2022-01-01T22:00:00Z;3745.9;3762.35;3738.45;3755.45;NaN;NaN
2022-01-01T23:00:00Z;3755.45;3772.05;3745;3763.4;NaN;NaN
2022-01-02T00:00:00Z;3763.4;3768.55;3750;3760.55;NaN;NaN
2022-01-02T01:00:00Z;3760.55;3760.6;3741.1;3745.6;NaN;NaN
2022-01-02T02:00:00Z;3745.6;3751.4;3742.2;3747.45;NaN;NaN
2022-01-02T03:00:00Z;3747.45;3758.8;3745;3756.95;NaN;NaN
2022-01-02T04:00:00Z;3756.95;3761.3;3715;3724.05;NaN;NaN
2022-01-02T05:00:00Z;3724.05;3743.6;3721;3742.85;NaN;NaN
2022-01-02T06:00:00Z;3742.85;3748.95;3739.6;3739.6;NaN;NaN
2022-01-02T07:00:00Z;3739.6;3749.65;3736;3745.65;NaN;NaN
2022-01-02T08:00:00Z;3745.65;3746.15;3733.25;3743;NaN;NaN
2022-01-02T09:00:00Z;3743;3771.85;3738.65;3752.7;NaN;NaN
2022-01-02T10:00:00Z;3752.7;3757.05;3739.95;3740.95;NaN;NaN
2022-01-02T11:00:00Z;3740.95;3754.1;3740.6;3742.15;NaN;NaN
2022-01-02T12:00:00Z;3742.15;3757;3730.35;3751.8;NaN;NaN
2022-01-02T13:00:00Z;3751.8;3754.3;3739.95;3745.1;NaN;NaN
2022-01-02T14:00:00Z;3745.1;3754;3743;3751.5;NaN;NaN
2022-01-02T15:00:00Z;3751.5;3788;3751.5;3775.85;NaN;NaN
2022-01-02T16:00:00Z;3775.85;3852;3775.85;3837.65;NaN;NaN
2022-01-02T17:00:00Z;3837.65;3860;3813.25;3821.95;NaN;NaN
2022-01-02T18:00:00Z;3821.95;3822.65;3771.7;3794.6;NaN;NaN
2022-01-02T19:00:00Z;3794.6;3805.5;3782.1;3797.35;NaN;NaN
2022-01-02T20:00:00Z;3797.35;3809.4;3794.4;3807.8;NaN;NaN
2022-01-02T21:00:00Z;3807.8;3825.25;3801.45;3809.4;NaN;NaN
2022-01-02T22:00:00Z;3809.4;3834.1;3809.4;3823.05;NaN;NaN
2022-01-02T23:00:00Z;3823.05;3842;3819;3826.2;NaN;NaN
2022-01-03T00:00:00Z;3826.2;3826.2;3805.7;3805.7;NaN;NaN
2022-01-03T01:00:00Z;3805.7;3806.6;3792.45;3803;NaN;NaN
2022-01-03T02:00:00Z;3803;3805.25;3785;3799.05;NaN;NaN
2022-01-03T03:00:00Z;3799.05;3803.1;3773.5;3786;NaN;3803.105
2022-01-03T04:00:00Z;3786;3796.1;3782.2;3790.6;NaN;NaN
2022-01-03T05:00:00Z;3790.6;3821.55;3790.55;3810.25;NaN;NaN
2022-01-03T06:00:00Z;3810.25;3814.55;3800.25;3800.5;NaN;NaN
2022-01-03T07:00:00Z;3800.5;3808.4;3797.55;3808.4;NaN;NaN
2022-01-03T08:00:00Z;3808.4;3820;3804.55;3804.6;NaN;NaN
2022-01-03T09:00:00Z;3804.6;3817.35;3787.6;3806.65;NaN;NaN
2022-01-03T10:00:00Z;3806.65;3828.8;3806.65;3822.2;3806.645;NaN
2022-01-03T11:00:00Z;3822.2;3861.9;3822.2;3834.25;NaN;NaN
2022-01-03T12:00:00Z;3834.25;3836;3818.2;3818.5;NaN;NaN
2022-01-03T13:00:00Z;3818.5;3829.55;3818.5;3819.15;NaN;NaN
2022-01-03T14:00:00Z;3819.15;3849.95;3776.2;3803.05;NaN;NaN
2022-01-03T15:00:00Z;3803.05;3812.2;3775;3785.9;NaN;3812.205
